"Action","Storage Used (Bytes)","Balance Before","Balance After"
"Create Sponsor account","673974","200000000000000000000000000","199994911066112618400000000"
"Create DataSetter account","777","199994911066112618400000000","199985119847326553700000000"
"Create Admin account","715","199985119847326553700000000","199975329110195363000000000"
"Add 1 ticket(s)","677","199975329110195363000000000","199965538585201873900000000"
"Add 10 ticket(s)","360","199965538585201873900000000","199965603253051431000000000"
"Scan a ticket","3600","199965603253051431000000000","199965829504356458100000000"
"Scan 10 tickets","0","199965829504356458100000000","199781442939635994156372960"
"Create Conference Account","393","199781442939635994156372960","199771138809619483755854400"
"Create 10 Conference Accounts","3144","199771138809619483755854400","199864613955726826100000000"
"Add a token drop","393","199864613955726826100000000","199851503139182601715000000"
"Add a nft drop","548","199851503139182601715000000","199671072507015145593159040"
"Add a multichain drop","963","199671072507015145593159040","199670792197968963381759360"
"Add scavenger token hunt with 2 pieces","718","199670792197968963381759360","199852710586467144500000000"
"Add scavenger token hunt with 4 pieces","704","199852710586467144500000000","199670167329407913697820320"
"Add scavenger token hunt with 10 pieces","846","199670167329407913697820320","199852104136460375600000000"
"Add scavenger nft hunt with 2 pieces","1273","199852104136460375600000000","199669566857086182617502560"
"Add scavenger nft hunt with 4 pieces","1139","199669566857086182617502560","199669253892975321114399840"
"Add scavenger nft hunt with 10 pieces","1281","199669253892975321114399840","199851120635566247400000000"
"Add scavenger multichain hunt with 2 pieces","1708","199851120635566247400000000","199668594325109819711284160"
"Add scavenger multichain hunt with 4 pieces","894","199668594325109819711284160","199668232527710209034087840"
"Add scavenger multichain hunt with 10 pieces","1039","199668232527710209034087840","199667931313198617877609440"
"Claim a token drop","1466","199667931313198617877609440","199849845945761601000000000"
"Claim a nft drop","315","199849845945761601000000000","199667326614918700023211040"
"Claim a multichain drop","959","199667326614918700023211040","199849062691929578100000000"
"Claim a scavenger hunt piece","266","199849062691929578100000000","199666529520534092923211040"